"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"21.11.2022","15.571,0","16.281,0","16.281,0","15.550,0","3,78K","-4,36%"
"20.11.2022","16.281,0","16.695,0","16.742,0","16.185,0","1,18K","-2,48%"
"19.11.2022","16.695,0","16.645,0","16.811,0","16.600,0","0,61K","0,37%"
"18.11.2022","16.634,0","16.827,0","16.837,0","16.550,0","1,81K","-0,43%"
"17.11.2022","16.705,0","16.676,0","16.735,0","16.413,0","1,48K","1,05%"
"16.11.2022","16.531,0","16.886,0","17.002,0","16.384,0","4,34K","-2,10%"
"15.11.2022","16.886,0","16.627,0","17.124,0","16.554,0","6,53K","1,56%"
"14.11.2022","16.627,0","16.345,0","17.188,0","15.829,0","6,71K","1,73%"
"13.11.2022","16.345,0","16.812,0","16.956,0","16.257,0","2,54K","-2,78%"
"12.11.2022","16.812,0","17.045,0","17.105,0","16.637,0","1,25K","-1,37%"
"11.11.2022","17.045,0","17.579,0","17.665,0","16.403,0","8,03K","-3,04%"
"10.11.2022","17.579,0","15.907,0","18.155,0","15.760,0","20,73K","10,51%"
"09.11.2022","15.907,0","18.557,0","18.597,0","15.603,0","18,08K","-14,28%"
"08.11.2022","18.557,0","20.610,0","20.692,0","16.950,0","20,52K","-9,96%"
"07.11.2022","20.610,0","20.932,0","21.083,0","20.423,0","1,84K","-1,54%"
"06.11.2022","20.932,0","21.313,0","21.378,0","20.913,0","1,35K","-1,79%"
"05.11.2022","21.313,0","21.168,0","21.470,0","21.105,0","1,62K","0,68%"
"04.11.2022","21.168,0","20.223,0","21.290,0","20.206,0","3,81K","4,67%"
"03.11.2022","20.223,0","20.168,0","20.403,0","20.073,0","1,24K","0,27%"
"02.11.2022","20.168,0","20.500,0","20.816,0","20.080,0","2,58K","-1,62%"
"01.11.2022","20.500,0","20.509,0","20.689,0","20.357,0","1,67K","-0,04%"
"31.10.2022","20.509,0","20.647,0","20.843,0","20.268,0","1,71K","-0,67%"
"30.10.2022","20.647,0","20.833,0","20.949,0","20.535,0","1,09K","-0,89%"
"29.10.2022","20.833,0","20.611,0","21.074,0","20.576,0","1,83K","1,08%"
"28.10.2022","20.611,0","20.303,0","20.764,0","20.055,0","2,28K","1,52%"
"27.10.2022","20.303,0","20.788,0","20.892,0","20.226,0","2,75K","-2,33%"
"26.10.2022","20.788,0","20.104,0","21.011,0","20.077,0","3,90K","3,40%"
"25.10.2022","20.104,0","19.340,0","20.430,0","19.254,0","2,76K","3,95%"
"24.10.2022","19.340,0","19.585,0","19.601,0","19.175,0","1,31K","-1,25%"
"23.10.2022","19.585,0","19.219,0","19.707,0","19.105,0","1,52K","1,90%"
"22.10.2022","19.219,0","19.175,0","19.272,0","19.125,0","0,75K","0,23%"
"21.10.2022","19.175,0","19.057,0","19.260,0","18.680,0","1,19K","0,62%"
